elexon_bmu_id,ng_bmu_id,bmu_name,rated_mw,rated_mwh,duration_ratio_h,mwh_source,lead_party,identification_method,active_2024_25
T_RICHB-1,RICHB-1,Richborough Energy Park 1,49.9,,,MISSING,Limejump Energy Limited,fuelType=OTHER,True
E_OVRHB-1,OVRHB-1,Overhill BESS,49.9,,,MISSING,Flexitricity Limited,fuelType=OTHER,False
E_SKELB-1,SKELB-1,Skelmersdale Battery,49.9,,,MISSING,Tesla Motors Limited,name_keyword,True
E_PILLB-1,PILLB-1,Pillswood 1 Battery Storage,49.9,,,MISSING,BP Gas Marketing Limited,name_keyword,True
T_RICHB-2,RICHB-2,Richborough Energy Park 2,49.9,,,MISSING,Limejump Energy Limited,fuelType=OTHER,True
E_PILLB-2,PILLB-2,Pillswood 2 Battery Storage,49.9,,,MISSING,BP Gas Marketing Limited,name_keyword,True
E_THMRB-1,THMRB-1,Thame Road  BESS,49.5,,,MISSING,Tesla Motors Limited,name_keyword,True
E_ILMEB-1,ILMEB-1,Ilmer Lane BESS,49.5,,,MISSING,Tesla Motors Limited,name_keyword,True
E_CLAYB-2,CLAYB-2,ClayTye Farm 2 Battery Storage,49.5,,,MISSING,Tesla Motors Limited,name_keyword,True
E_CLAYB-1,CLAYB-1,ClayTye Farm 1 Battery Storage,49.5,,,MISSING,Tesla Motors Limited,name_keyword,True
2__NFLEX009,AG-NFLX09,2__NFLEX009,49.0,,,MISSING,Flexitricity Limited,fuelType=OTHER,True
2__NFLEX001,AG-NFLX01,2__NFLEX001,49.0,,,MISSING,Flexitricity Limited,fuelType=OTHER,True
2__PFLEX001,AG-PFLX01,2__PFLEX001,49.0,,,MISSING,Flexitricity Limited,fuelType=OTHER,True
E_TOLLB-1,TOLLB-1,Tollgate Energy Storage,49.0,,,MISSING,Tollgate Energy Storage Ltd,name_keyword,True
E_ROOSB-1,ROOSB-1,Roosecote BESS,49.0,,,MISSING,CBS ENERGY STORAGE ASSETS LTD,name_keyword,True
E_ARNKB-2,ARNKB-2,Hutton Battery Storage,49.0,,,MISSING,Flexitricity Limited,name_keyword,True
E_PETEM3,PETEM3,Peterborough Power 3,48.838,,,MISSING,River Nene Power Limited,fuelType=OTHER,True
